id,description
8151911,"Fiscal Germán Juárez también investigará a Martín Vizcarra por asociación ilícita-"
1643397,"Exportaciones peruanas de cítricos rompen récord este año al superar barrera de las 200 mil toneladas-Sergio del Castillo, gerente general de la Asociación de Productores Cítricos del Perú, comentó que, al pasado 2 de octubre, se registraron 253 mil toneladas exportadas. Por su parte, AGAP informó que, en valores, las exportaciones de mandarinas ya superaron las registradas el año pasado."
14924,"Seguro de desempleo que propone el Ejecutivo debe allanar el camino para ser viable-Laboralistas Brian Ávalos y Miguel Rubio evalúan los escenarios de esta propuesta del Ministerio de Economía y Finanzas."
3188373,"Carla García postulará como precandidata al Congreso en elecciones internas del Apra-Carla García Buscaglia, la hija mayor del fallecido expresidente Alan García, confirmó que se presentará como precandidata al Congreso en los comicios internos del Partido Aprista (PAP), de cara a las Elecciones Generales del 2021."
9809879,"Martín Vizcarra afirma que miembros de Acción Popular y APP le plantearon postergar elecciones-El presidente de la República, Martín Vizcarra, dijo que recibió pedidos de miembros de Acción Popular y Alianza para el Progreso (APP) para que postergue las elecciones generales del 2021 cuando las cifras de la pandemia del nuevo coronavirus estaban es ascenso."
5938748,"Demanda de pasajeros a destinos nacionales se incrementará desde noviembre, según Canatur-"
3346584,"Canatur: Flujo de pasajeros en vuelos nacionales aumentará desde noviembre-"
8837020,"Confiep pide optimizar marco normativo para incentivar reactivación del sector privado-La Confiep hizo un llamado al Ejecutivo para que se mejoren las condiciones regulatorias, de cara la reactivación del empleo y del sector privado, tras la crisis económica que desató la pandemia del coronavirus."
9290432,"APP no firmará nueva moción de vacancia contra Martín Vizcarra, dice Fernando Meléndez-El portavoz de Alianza para el Progreso (APP), Fernando Meléndez, dijo que su bancada ha decidido no promover una segunda moción de vacancia contra el presidente Martín Vizcarra."
5875298,"WhatsApp: ¿por qué se ha convertido en un complemento para las compras en línea?-Según estudio de Ipsos Perú, 4,5 millones de peruanos utilizan la plataforma WhatsApp para compras en línea. Con la pandemia esta herramienta digital creció como complemento en el e-commerce. La mayoría de transacciones por este medio son de las categorías alimentos y bebidas, pedidos en restaurantes, ropa y productos, y aseo personal."
3943323,"CCL elige a Peter Anders como nuevo presidente en reemplazo de Yolanda Torriani-La Cámara de Comercio de Lima (CCL) eligió a Peter Anders Moores como nuevo presidente del gremio para el período 2020-21, en reemplazo de Yolanda Torriani."
6083010,"Siete Regiones: Gobernador del Cusco critica nuevo retraso del proyecto de gas natural-"
3648847,"Martos pide al Congreso respetar gobernabilidad ante posible moción de vacancia-El jefe del Gabinete Ministerial, Walter Martos, exhortó al Parlamento a respetar la gobernabilidad y a evitar generar incertidumbre, cuando restan menos de seis meses para que se realicen las elecciones generales. Agregó, en tono crítico, que un sector del Congreso “cada semana” realiza intentos para vacar al presidente Martín Vizcarra."
2357854,"Acción Popular y APP niegan haber planteado a Martín Vizcarra postergar las elecciones-Desde mediados de setiembre, el Gobierno ha mantenido una afirmación que este lunes fue ratificada por el presidente Martín Vizcarra: que desde dos partidos políticos se propuso la postergación de las elecciones generales convocadas para abril del 2021. Pero en esta ocasión, el mandatario aseveró que las personas que hicieron el pedido son de los partidos Acción Popular y Alianza para el Progreso (APP). Mientras tanto, representantes de ambas agrupaciones han rechazado tal sindicación."
1611381,"Congreso aprueba la creación del Ministerio de Desarrollo Agrario y Riego en reemplazo del Minagri-El Congreso de la República aprobó hoy por unanimidad y con 117 votos a favor la ley que crea el Ministerio de Desarrollo Agrario y Riego (en lugar del actual Ministerio de Agricultura y Riego)."
157898,"Martín Vizcarra: ¿Sus declaraciones sobre Acción Popular y APP afectan la neutralidad electoral? | Análisis-En Acción Popular (AP) y Alianza para el Progreso (APP) no han caído nada bien las declaraciones del presidente Martín Vizcarra respecto de un presunto pedido de miembros de ambos partidos para postergar las elecciones generales convocadas para el 11 de abril del 2021. Incluso, desde la primera agrupación, se ha acusado una “ruptura de la neutralidad” electoral que debe mantener el mandatario."
8391850,"Luis Arce, virtual presidente de Bolivia, y la entrevista que dio a La República-En 2015 se proyectaba que la economía boliviana crecería 4,4%. Luis Arce Catacora era ministro de Economía de ese país y señaló a este diario el modelo económico social comunitario productivo que aplicaba entonces el Estado altiplánico."
2459963,"Jugadores de Llacuabamba no se movieron al inicio del partido como protesta por la falta de pagos-Luego de la denuncia de un jugador del club norteño por los sueldos atrasados, los futbolistas se quedaron quietos durante 30 segundos en el partido contra César Vallejo."
237823,"Jean Pierre Rhyner es convocado por la selección peruana para los duelos contra Chile y Argentina-El defensor suizo de ascendencia peruana fue incluido en la lista preliminar de reservados por la Bicolor para la fecha doble de noviembre por Eliminatorias."
5825536,"¿A qué hora juega River Plate vs. LDU Quito y en qué canal ver la Copa Libertadores?-River Plate y LDU Quito chocan este martes (EN VIVO ONLINE vía ESPN 2) por la última fecha del grupo D de la Copa Libertadores 2020"
3455555,"PSG vs. Manchester United EN VIVO: ¿a qué hora y dónde ver la fase de grupos de Champions League?-Ver EN VIVO PSG vs. Manchester United ONLINE EN DIRECTO por la fecha 1 de la fase de grupos de la Champions League 2020-21."
